"id_encuestado","pais","region","zona","edad","generacion","sexo_biologico","ingreso_anual","importante_trabajo","ocurrio_trabajo","expectativa_trabajo","sentimiento_si_no_trabajo","importante_vivienda_propia","ocurrio_vivienda_propia","expectativa_vivienda_propia","sentimiento_si_no_vivienda_propia","importante_vida_independiente","ocurrio_vida_independiente","expectativa_vida_independiente","sentimiento_si_no_vida_independiente","importante_ser_padre","ocurrio_ser_padre","expectativa_ser_padre","sentimiento_si_no_ser_padre","importante_casarse","ocurrio_casarse","expectativa_casarse","sentimiento_si_no_casarse","importante_mascota","ocurrio_mascota","expectativa_mascota","sentimiento_si_no_mascota","idx_aspiracion_global","idx_expectativa_global","idx_satisfaccion_vida","D1_seguridad_economica","D2_vivienda_independencia","D3_familia_tradicional","D4_presion_social","D5_bienestar_emocional","D6_apertura_alternativas","D7_confianza_futuro","D8_estabilidad_laboral","D9_preocupacion_financiera","D10_apoyo_red_familiar","D11_expectativa_matrimonio","D12_optimismo_personal","D13_control_sobre_futuro","D14_autonomia_estilo_vida"
1,"Suecia","Europa",1,70,"Baby Boomer",1,64053,"Sí","Sí","","","No","No","Probable","Triste","Sí","No","Probable","Neutral","No","No","Probable","Neutral","No","Sí","","","No","Sí","","",33.33,100,1.67,4.5,5.37,4.7,5.11,3.07,3.75,3.53,4.1,3.9,5.54,4.75,4.74,4.35,4.3
5,"India","Asia",1,20,"Gen Z",1,3703,"No","No","Incierto","Neutral","No","No","Probable","Triste","No","No","Improbable","Triste","Sí","No","Incierto","Neutral","No","No","Probable","Feliz","No","No","Incierto","Feliz",16.67,0,2,2.75,2.87,4.39,4.14,1.5,3.74,1,3.73,3.75,4.6,5.3,1.49,1.82,1.95
8,"Suecia","Europa",1,65,"Baby Boomer",2,49478,"Sí","Sí","","","Sí","No","Cierto","Feliz","Sí","Sí","","","No","No","Probable","Neutral","Sí","Sí","","","No","No","Probable","Neutral",66.67,100,2.33,4.84,4.67,2.65,3,4.41,5.69,4.26,5.04,2.23,4.5,2.96,4.68,4.32,5.64
11,"Suecia","Europa",2,24,"Gen Z",1,32784,"Sí","Sí","","","Sí","No","Improbable","Triste","No","No","Probable","Triste","Sí","No","Incierto","Triste","No","No","Incierto","Triste","No","Sí","","",50,0,1,3.8,3.24,4.33,4.38,3.26,4.31,1.86,4.36,3.66,3.73,3.76,2.9,2.73,2.99
15,"Suecia","Europa",1,33,"Millennial",1,52107,"Sí","No","Probable","Feliz","Sí","No","Probable","Neutral","No","No","Probable","Feliz","No","No","Improbable","Triste","No","Sí","","","No","No","Probable","Triste",33.33,100,2,4.85,3.15,4.27,3.44,3.61,3.97,2.21,5.15,4.53,3.71,3.73,2.53,3.55,3.44
16,"Suecia","Europa",1,68,"Baby Boomer",1,157467,"Sí","Sí","","","No","No","Probable","Triste","Sí","Sí","","","No","No","Cierto","Feliz","Sí","No","Probable","Triste","No","Sí","","",50,100,1.67,6,5.51,4.58,4.69,5.13,3.23,5.79,3.55,3.83,5.91,4.04,5.74,4.78,4.06
20,"Suecia","Europa",1,32,"Millennial",2,74614,"No","Sí","","","No","Sí","","","Sí","No","Probable","Neutral","No","No","Incierto","Triste","Sí","No","Cierto","Triste","Sí","Sí","","",50,100,1.33,3.78,4.52,3.62,4.22,4.33,4.69,3.8,4.95,3.69,3.23,1.9,2.89,4.77,4
21,"India","Asia",1,65,"Baby Boomer",2,2673,"Sí","No","Probable","Neutral","Sí","Sí","","","No","Sí","","","No","No","Incierto","Triste","No","No","Cierto","Triste","No","No","Probable","Neutral",33.33,100,1.5,3.58,3.13,4.6,4.3,3.9,3.12,4.14,3.2,4.65,4.09,4.52,3.62,4.13,3
22,"India","Asia",1,57,"Gen X",1,5529,"Sí","Sí","","","Sí","No","Probable","Neutral","No","Sí","","","No","Sí","","","No","Sí","","","No","Sí","","",33.33,100,2,4.84,3.17,4.32,3.27,4.21,3.88,4.39,2.38,4.12,4.38,3.99,3.7,4.54,4.06
25,"India","Asia",1,62,"Baby Boomer",1,8864,"No","No","Probable","Feliz","No","No","Probable","Neutral","Sí","Sí","","","No","Sí","","","Sí","No","Incierto","Neutral","No","No","Improbable","Neutral",33.33,0,2.25,4.35,3.54,3.62,3.83,4.25,2.18,4.86,2.95,3.45,3.57,4.43,4.17,3.86,3.83
30,"India","Asia",2,61,"Baby Boomer",2,3131,"No","No","Improbable","Feliz","No","No","Probable","Neutral","Sí","No","Improbable","Neutral","Sí","No","Probable","Feliz","No","Sí","","","No","No","Probable","Triste",33.33,50,2.2,4.1,1.95,4.84,5.7,3.76,4.08,3.7,2.74,6.44,4.68,5.02,4.38,4.24,4.13
32,"India","Asia",2,25,"Gen Z",2,1500,"Sí","No","Probable","Neutral","No","No","Incierto","Triste","No","No","Incierto","Feliz","No","No","Improbable","Triste","No","No","Incierto","Feliz","No","Sí","","",16.67,100,2,3.33,2.86,4,5.26,2.79,3.49,1.11,3.16,4.29,2.97,3.23,1.18,1.91,3.71
36,"India","Asia",2,37,"Millennial",1,4497,"No","Sí","","","No","No","Improbable","Triste","No","Sí","","","Sí","No","Cierto","Neutral","Sí","No","Incierto","Feliz","No","No","Incierto","Triste",33.33,50,1.75,4.16,4.46,2.93,4.35,3.51,3.52,3.04,3.87,5.17,5.34,3.43,3,3.53,4.32
37,"Suecia","Europa",1,18,"Gen Z",1,91080,"No","Sí","","","No","No","Incierto","Triste","Sí","Sí","","","Sí","No","Improbable","Triste","Sí","No","Probable","Triste","No","No","Improbable","Feliz",50,50,1.5,3.89,3.7,4.4,4.05,3.76,2.93,2.91,4.58,4.1,4.48,4.19,3.71,3.82,3.74
46,"India","Asia",1,68,"Baby Boomer",2,4429,"No","Sí","","","Sí","Sí","","","No","No","Probable","Triste","No","Sí","","","No","No","Probable","Feliz","Sí","No","Cierto","Feliz",33.33,100,2.33,4.03,4.52,3.71,3.92,4.86,4.16,4,2.72,5.06,4.22,4.07,4.99,5.41,5.09
58,"India","Asia",2,57,"Gen X",1,5430,"No","No","Incierto","Triste","No","No","Probable","Neutral","Sí","Sí","","","No","No","Improbable","Triste","No","No","Cierto","Neutral","No","No","Probable","Neutral",16.67,NA,1.6,3.3,3.59,3.76,3.34,3.56,4.5,4.31,5.13,3.76,3.19,2.35,3.47,4.45,5.07
61,"Suecia","Europa",1,38,"Millennial",1,43990,"Sí","No","Probable","Triste","Sí","No","Probable","Triste","Sí","No","Cierto","Triste","Sí","No","Probable","Triste","No","Sí","","","Sí","No","Probable","Neutral",83.33,100,1.2,4.81,4.18,3.82,3.52,3.45,3.23,3.6,3.83,3.43,4.46,5.03,3.6,4.51,5.02
63,"India","Asia",1,42,"Millennial",1,4119,"Sí","No","Probable","Triste","Sí","No","Probable","Triste","No","No","Probable","Neutral","No","No","Incierto","Feliz","No","No","Probable","Triste","No","Sí","","",33.33,100,1.6,2.72,2.56,4.56,4.83,3.03,4.17,3.44,3.35,4.98,4.18,4.22,3.81,2.49,3.61
64,"Suecia","Europa",2,71,"Baby Boomer",1,48817,"No","Sí","","","Sí","No","Probable","Triste","No","Sí","","","No","No","Cierto","Neutral","No","No","Probable","Feliz","No","No","Probable","Triste",16.67,100,1.75,4.9,4.67,4.4,4,3.97,4.27,4.89,4.46,3.97,3.98,4.05,6.37,4.62,4.07
69,"India","Asia",2,33,"Millennial",1,2614,"Sí","No","Probable","Feliz","Sí","No","Incierto","Triste","No","No","Cierto","Feliz","No","No","Probable","Triste","No","No","Incierto","Feliz","No","No","Probable","Feliz",33.33,50,2.33,3.05,2.75,4.68,5.67,3.39,3.25,2.84,3.53,4.54,5.52,4.9,2.66,2.14,3.4
70,"India","Asia",1,50,"Gen X",1,3543,"No","Sí","","","Sí","No","Incierto","Neutral","No","No","Incierto","Neutral","Sí","Sí","","","No","Sí","","","No","No","Incierto","Neutral",33.33,0,2,2.33,2.93,3.66,3.26,3.23,3.7,2.52,2.96,4.49,3.86,3.85,4.28,2.81,4.45
74,"India","Asia",2,42,"Millennial",2,2877,"No","No","Incierto","Triste","Sí","No","Improbable","Feliz","No","No","Improbable","Feliz","Sí","No","Cierto","Feliz","No","No","Improbable","Triste","No","Sí","","",33.33,50,2.2,4.2,2.49,4.85,5.76,4.24,3.6,1.46,3.47,3.39,5.11,3.67,2.59,2.22,2.66
79,"India","Asia",2,50,"Gen X",1,2645,"No","No","Incierto","Feliz","No","No","Cierto","Triste","No","No","Probable","Feliz","No","Sí","","","No","Sí","","","No","No","Incierto","Neutral",0,NA,2.25,2.49,3.25,4.77,3.68,4.07,4.77,3.12,1.36,5.78,4.38,4.21,2.27,3.14,3.55
93,"India","Asia",2,40,"Millennial",1,3007,"No","No","Cierto","Triste","Sí","Sí","","","No","Sí","","","Sí","No","Probable","Neutral","No","No","Incierto","Feliz","No","No","Probable","Neutral",33.33,100,2,3.49,3.2,4.36,3.83,4.6,3.25,3.11,3.75,5.18,4.75,4.74,3.9,4.2,3.99
106,"Suecia","Europa",1,51,"Gen X",1,53500,"Sí","Sí","","","Sí","No","Probable","Neutral","No","No","Improbable","Feliz","Sí","Sí","","","No","No","Probable","Triste","Sí","Sí","","",66.67,100,2,4.96,4.15,3.12,2,4.53,5.03,4.91,4.75,3.79,3.38,4.6,5.06,5.03,4.85
112,"India","Asia",2,60,"Gen X",1,8000,"Sí","Sí","","","No","Sí","","","No","No","Probable","Feliz","Sí","No","Cierto","Neutral","No","No","Probable","Feliz","Sí","Sí","","",50,100,2.67,3.99,2.34,3.96,4.03,3.79,4.75,3.11,4.78,4.89,4.46,3.79,3.65,3.61,3.45
114,"India","Asia",2,43,"Millennial",1,4063,"No","No","Improbable","Feliz","Sí","No","Incierto","Neutral","No","No","Incierto","Triste","No","No","Incierto","Feliz","No","Sí","","","No","Sí","","",16.67,0,2.25,3.69,5.16,4.71,3.78,3.51,3.4,3.65,4.21,4.72,4.87,2.77,3.37,4.64,4.44
116,"India","Asia",2,29,"Gen Z",1,2300,"No","Sí","","","No","No","Cierto","Feliz","Sí","No","Probable","Triste","Sí","No","Incierto","Triste","No","No","Improbable","Triste","No","No","Improbable","Feliz",33.33,50,1.8,4.46,2.39,3.71,5.57,2.23,4.14,1.12,3.96,4.71,4.94,4.57,2.51,2.72,2.82
118,"India","Asia",1,18,"Gen Z",2,3063,"Sí","Sí","","","No","No","Incierto","Triste","No","No","Improbable","Neutral","No","No","Improbable","Neutral","No","Sí","","","No","No","Probable","Neutral",16.67,NA,1.75,4.08,2.69,3.16,4.45,2.22,4.31,1.1,4.09,4.63,4.12,4.8,2.67,3.69,3.11
122,"Suecia","Europa",1,41,"Millennial",2,39133,"Sí","Sí","","","No","No","Probable","Neutral","No","Sí","","","Sí","Sí","","","No","No","Probable","Neutral","No","No","Incierto","Neutral",33.33,NA,2,5.05,5.18,3.38,4.33,4.05,3.91,3.08,6.1,3.5,3.27,3.7,4.81,3.45,5.22
123,"Suecia","Europa",1,55,"Gen X",1,55074,"Sí","Sí","","","Sí","No","Probable","Neutral","No","Sí","","","No","No","Cierto","Feliz","No","Sí","","","Sí","No","Probable","Neutral",50,100,2.33,5.71,4.35,4.73,3.65,4.39,4.22,4.81,5.25,4.04,3.51,3.29,4.13,4.1,5.35
129,"Suecia","Europa",1,64,"Baby Boomer",1,127637,"Sí","Sí","","","Sí","No","Probable","Neutral","No","Sí","","","Sí","No","Probable","Triste","Sí","No","Probable","Neutral","No","Sí","","",66.67,100,1.67,5.5,5.29,4.41,2.73,5.16,3.96,5.3,5.15,2.8,4.18,4.72,5,5.45,3.64
130,"India","Asia",2,44,"Millennial",2,5167,"No","No","Incierto","Triste","Sí","No","Incierto","Neutral","No","Sí","","","No","No","Incierto","Triste","No","No","Probable","Neutral","No","Sí","","",16.67,0,1.5,4.19,3.45,4.51,5.88,3.92,2.83,2.51,4.98,4.64,4.97,5.02,3.66,4.55,3.33
137,"India","Asia",2,62,"Baby Boomer",1,3802,"No","No","Incierto","Triste","Sí","No","Probable","Neutral","No","Sí","","","No","Sí","","","Sí","No","Probable","Neutral","No","Sí","","",33.33,100,1.67,5.04,3.66,5.4,3.62,3.99,2.51,3.65,4.13,4.5,4.17,4.36,4.38,2.61,2.65
139,"Suecia","Europa",1,68,"Baby Boomer",2,27046,"Sí","Sí","","","No","Sí","","","No","No","Probable","Triste","No","No","Probable","Neutral","No","Sí","","","No","No","Probable","Triste",16.67,NA,1.33,4.1,4.19,4.04,4.65,3.91,4.5,4.7,4.51,3.71,3.53,3.16,4.08,4.29,4.12
140,"India","Asia",2,71,"Baby Boomer",1,4955,"No","Sí","","","Sí","No","Incierto","Triste","No","Sí","","","Sí","Sí","","","Sí","Sí","","","No","Sí","","",50,0,1,3.67,4.19,3.29,3.77,4.64,4.77,3.66,2.81,3.46,4.13,3.64,3.09,3.48,4.14
142,"India","Asia",1,72,"Baby Boomer",2,5239,"No","No","Cierto","Neutral","Sí","Sí","","","No","Sí","","","No","No","Probable","Neutral","No","Sí","","","No","No","Cierto","Neutral",16.67,NA,2,3.36,3.14,3.78,4.11,4.98,3.83,4.12,3.96,4.84,3.5,4.56,3.34,3.86,3.08
149,"India","Asia",1,60,"Gen X",1,4946,"Sí","Sí","","","No","No","Probable","Triste","Sí","No","Improbable","Neutral","Sí","No","Probable","Neutral","No","Sí","","","No","Sí","","",50,50,1.67,3.42,3.14,3.85,3.12,4.95,4.13,3.43,3.26,5.41,3.79,4.17,4,3.69,5.12
152,"Suecia","Europa",1,60,"Gen X",2,72157,"Sí","No","Cierto","Neutral","Sí","Sí","","","Sí","No","Incierto","Neutral","No","No","Cierto","Triste","No","No","Probable","Neutral","Sí","Sí","","",66.67,50,1.75,4.7,5,4.14,2.89,4.85,3.67,6.22,4.67,1.79,4.2,3.44,4.96,4.87,5.01
154,"India","Asia",1,56,"Gen X",2,2454,"No","No","Incierto","Feliz","Sí","No","Probable","Feliz","No","No","Probable","Triste","No","Sí","","","No","Sí","","","No","No","Cierto","Neutral",16.67,100,2.25,3.04,3.35,3.67,4.29,3.95,2.5,3.63,2.56,4.13,4.69,3.7,3.41,5.38,4.17
158,"India","Asia",2,56,"Gen X",1,4632,"No","No","Probable","Triste","No","No","Incierto","Triste","No","No","Probable","Triste","No","Sí","","","No","No","Probable","Neutral","No","Sí","","",0,NA,1.25,3.68,3.94,2.89,3,4.56,4.24,3.99,3.83,5.73,3.9,3.7,3.64,4.42,4.05
163,"India","Asia",2,39,"Millennial",2,4267,"Sí","No","Incierto","Triste","No","No","Probable","Triste","No","Sí","","","Sí","No","Cierto","Neutral","No","No","Improbable","Neutral","No","No","Cierto","Neutral",33.33,50,1.6,3.5,4.12,3.49,4.21,4.04,3.19,4.11,3.49,5.55,3.45,4.09,2.55,3.8,3.2
